name,measurement_unit,weight_per_unit,protein_per_100g,calories_per_100g,fat_per_100g,carbohydrates_per_100g,alcohol_percentage
melk vlokken,g,,5.8,452,15,72,0
zachte tofu,g,,8.2,77,4.4,0.5,0
droptoppers zacht & zoet,g,,4.3,324,0.1,75,0
knakworst,g,,14.1,186,12.6,3.9,0
chocopasta puur,g,,3.8,572,39,48,0
biologisch extra puur chocolade,g,,9.2,596,50,20.4,0
serveertip johma oet twente groentespread pompoen,g,,4,160,5.3,22,0
"skuumkoppe 0,0%",ml,,0.4,25,0,5.8,0
smeerbare roomboter met plantaardige olie,g,,0.4,655,72.3,0.8,0
portugese ster muffin,g,,6.7,481,29,48,0
pindakaas naturel,g,,23,643,55,10,0
italiaanse bol,g,,1.1,253,3.3,53,0
beterde ceptuur jumbo 400 gram choco pinda's pinda,g,,9.2,492,22.4,61.2,0
draken fruit,g,,0.1,11,0.0,2.4,0
healthyfit make it count! pistachio protein bar [2,g,,33.3,388.3,15.7,25,0
melkan soja drink original nutri-score abcd -100%,g,,3,39,1.7,2.5,0
vegan jimmy's the original popcorn cinema butter f,g,,8,457.5,26,44,0
- bbel sour cream & onion smaak bereid met zonne-,g,,6.7,516,29,55,0
de vegetarische slager tm rul gehackt plantaardig,g,,16,110,2.8,2.6,0
walnoten ongebrand & ongezouten,g,,16,685,65,5.3,0
melkchocolade met hazelnoten,g,,8.3,543.3,33.3,50,0
pesto verde,g,,4.3,358,34,8,0
brood eiwit volkoren,g,,19,245,8.1,17.5,0
sardines in olijfolie,g,,18,198,14,0.5,0
troebele groene ijsthee perzik,ml,,0,4,0.0,0.8,0
duo mints,g,,0.5,399,0.5,98,0
pepsi max,ml,,0.1,0.4,0,0,0
cruesli zero sugar added,g,,7.5,421,17,48,0
vitamine water,g,,0,1,0,0,0
spaghetti integrale,g,,14,336,2,62,0
protein bowl linzencurry met couscous,g,,6.3,76,1.7,6.7,0
600 g ron vani wit & vezels helaes pindakaas extra,g,,23,639,54,10,0
sisi nog bubbles zero sugar,ml,,0,3,0,0.4,0
tofu bio,g,,13,113,5.9,0.8,0
kruidnoten,g,,6.5,442,12,77,0
dunne maïswafels,g,,9,380,1.6,77,0
proteine drinkyoghurt mango sinaasappel,g,,6.1,50,0,4.4,0
framboos,g,,0.7,225,0.2,53,0
boer donker meergranen volkoren,g,,7,220,3,38,0
kook room 20%,g,,2.9,209,20,3.9,0
amander crème,g,,11,545,33,50,0
volle melk,g,,3.3,63,3.5,4.5,0
karvan cévitam zero framboos siroop 600 ml,g,,0,6,0,0.5,0
bcaa drink,g,,0.7,2.7,0,0,0
olijfolie mild,g,,0,819,91,0,0
digestive melk chocolade,g,,6.7,495,23.6,62.2,0
krokante muesli naturel,g,,9.9,416,10,68,0
b'tween kokos & chocolade,g,,5.5,468,23,57,0
chocolate chip cookies,g,,5.4,494,25,60,0
romige kokosmelk,ml,,1.5,170,17,2,0
melkunie protein chocolade pudding,g,,10,77,1.5,6.6,0
nibb-it sticks potato snacks plenty of flavor,g,,4.3,469,21,64,0
danoontje,g,,6.3,88,2.5,10,0
croma,ml,,0,765,86,0.5,0
hoemoes paprika oregano,g,,5.4,271,23.3,8,0
tomaten gesneden blokjes,g,,1.4,33.0,0.2,5.6,0
turkkilainen jogurtti 10%,g,,3.4,122.7,10,4.2,0
groente crackers spinazie,g,,28,464,21,36,0
vla met vanillesmaak,ml,,2.5,88,2.9,13,0
melk hele hazelnoot,g,,8.9,569,38,45,0
donkere basterdsuiker,g,,0,396,0,99,0
bière sans alcool,ml,,0,21,0,4.8,0
speltkoren speltbrood,g,,11.6,260.5,5.5,37.6,0
soeculaaw,g,,5.7,502,21.6,69.8,0
tortilla corn & wheat,g,,9.4,293,5.2,50,0
kip krokant schnitzel,g,,12.3,235,11.7,17.6,0
samba oelek,g,,1.7,52,1.9,4.9,0
hagel slag,g,,3.2,450,14,76,0
cocoa powder,g,,20,366,21,8.7,0
mango dream,g,,0.3,46,0,10.7,0
havermout proteïne,g,,20,390,9.7,51,0
bastoncini salati,g,,11,399,4,77,0
mixed nuts,g,,20.1,646,58.3,6.6,0
asian wok pieces,g,,5.7,86.4,1.3,12.1,0
cheese smaak,g,,8.3,504,23,64,0
s. pellegrino water,ml,,0,0,0,0,0
biologische volle yoghurt,g,,4,61,3,4.5,0
puur 51% amandel zeezout,g,,7.4,539,35,44,0
basic eisalade,g,,8.3,235,20,5.5,0
groentespread paprika biologisch,g,,5.1,231,18,11,0
kühne mosterd franse (tube),g,,5.3,104,5.9,4.2,0
vanille,ml,,1.8,89,4.6,10.3,0
mangostreifen getrocknet,g,,2.7,330,1.7,71,0
heart breakers paprika,g,,4.7,506,28.6,56.1,0
soya drink,ml,,3,40,1.7,3.1,0
aardbei,ml,,0,264,0,64,0
chocoladevlokken puur,g,,5.2,443,16,66,0
pecan pie,g,,7.6,476,31.4,36.4,0
dunne maiswafels met zeezout,g,,9,378,0.8,82,0
fritessaus halfvol,ml,,0.4,178,13.2,13.9,0
plantaardig kruimgehakt,g,,20,105,0.6,1.9,0
tomato blokjes,g,,1,20,0.1,3.3,0
taksi tropisch fruit,ml,,0.1,11,0.0,2.4,0
mini crackers - tomates séchées et basilic,g,,11,434,13,66,0
hipro banaan,g,,12.4,70,0.4,4,0
ipa 0.0,ml,,0,24,0.1,1.9,0
rose en witte muisjes,g,,2,397,2.4,92,0
paprika & chili tortilla,g,,9.2,247.5,4.2,41,0
oosterse taboulé met een vleugje munt,g,,4.1,167,5.6,24,0
bio fusilli organic volkoren/complet,g,,13,343,1.9,65,0
verse halfvolle vanille yoghurt,g,,2.1,52.7,1.1,8.7,0
biologische tomatenblokjes,g,,1,22,0.1,4,0
vita d'or balance*,g,,0,351,39,0,0
vruchtenmix,ml,,0.4,230,0.1,57,0
liga baby biscuits,g,,6.8,393,6.7,75,0
crystal clear apple pear,ml,,0,1,0,0,0
rondeel eieren,g,,12,130,9,0.2,0
fusilli volkoren,g,,14,338,2,62,0
mayonaise romig,ml,,0.9,623,67.2,3.3,0
volkoren muesli-notenbrood,g,,12,306,8,43,0
zonnatura muesli fruits rouges,g,,12,355,6,59,0
aardbei extra jam,g,,0.4,249,0.2,60,0
houdbare halfvolle melk,g,,3.4,47,1.5,5,0
krokante muesli met chocoladestukken,g,,9.3,447,18.9,52.9,0
magere melk,g,,3.7,34,0,4.7,0
uht halfvolle melk,g,,3.5,47,1.5,4.8,0
protein mousse chocoladesmaak,g,,10,76,1.6,5,0
raisins,g,,3,344,0.5,80,0
isey skyr,g,,9.6,62,0.3,5.2,0
high protein chocolate mousse,g,,10,74,1.5,4.5,0
orientschijf,g,,15.9,196,6.4,16.4,0
céréales all bran kellogg's fibre plus,g,,14,334,3.5,48,0
mild curry paste,g,,3.9,262,22.3,5.6,0
the original,g,,0,0,0,0,0
jori pindakaas,g,,27,617,49,17,0
chocomel dark,g,,3.4,69,1.6,10,0
confiture pruimen,g,,0.4,241,0.1,59,0
ah volle yoghurt,ml,,4,59,3,4,0
wasa goudbruin,g,,13,389,7,64.3,0
ah zakje met zomerfruit,g,,1,69,0.3,13,0
digestief,g,,7,470,18,67,0
medjouldadels,g,,2,280,0.3,64,0
krokante muesli volkoren,g,,9.5,445,15,64,0
spinazie,g,,3.2,26,0.6,2.9,0
bio extra vierge olijf olie,ml,,0,900,100,0,0
casave kroepoek,g,,1,468,18.9,72,0
pittige tomaat,g,,1.1,28.6,0.3,5.4,0
reis jasmin,g,,6.7,351,0.8,78.8,0
crunchy muesli choco & nuts,g,,9,450,16.8,69.7,0
kong strong,ml,,0.4,4,0.1,0.1,0
hazelnootpasta zonder suikers,g,,6.3,492,37,49,0
biologische olijfolie,ml,,0,824,92,0,0
biscoff crunchy,g,,3.2,571,35.7,58.8,0
simply japanese rice vinegar,ml,,0,145,0,36,0
choco spread,g,,1.4,574,37,58,0
cassis,ml,,0,259.8,0,62,0
biologische passata di pomodoro,g,,1.4,37,0,6.8,0
biologische tomatenketchup fles 450 ml,g,,0.9,110,0,25,0
buldak 2x spicy,g,,9.3,375.7,12.1,60.7,0
tavuk salam dilimi,g,,11.7,260,22.7,2.2,0
roeryoghurt naturel,g,,4.5,52,1.5,5,0
amstel radler,ml,,0.1,28,0.1,6.9,0
houdbare lactosevrije half volle melk,ml,,3.3,46,1.6,4.7,0
biologische volle melk,g,,3.4,68,3.9,4.9,0
dadelstroop,g,,1,295,0,71,0
pinda crunch reep,g,,16.6,552,34.8,40.4,0
jong,g,,25,370,30,0,0
soepstengels,g,,14,380,6.5,60,0
groente zeezout bio robuuste chips,g,,6,470,28,43,0
cashew nuts dry roasted spicy,g,,18.3,596,44.8,28,0
jean bâton mayonaise truffel,ml,,1.3,724,78,3.8,0
volle biogarde roer,g,,4,66,3.5,4.5,0
heldere kippensoep,ml,,1.9,36,1.4,3.6,0
duo pasta hazelnoot wit,g,,2.5,568,36,58,0
rice crackers natural,g,,8.2,384,1.3,83.7,0
hipro vanille-cookie smaak,g,,8.3,59,0.5,5.5,0
freeway cola,g,,0.1,39.9,0,9.8,0
frites saus zero,g,,0.6,130,10,9.8,0
vrije-uitloop eisalade,g,,8.9,273,25,3,0
natuurlijk mineraal water,g,,0,0,0,0,0
verse eieren,g,,12.3,132,9.1,1.6,0
cola zero,g,,0,1,0,0,0
hagelslag,g,,8.8,388,19,56,0
mini crackers olijfolie en oregano,g,,10,438,11.7,71.5,0
pesto genovese,g,,5.8,637,66,3.7,0
ontbijtkoek zero,g,,12.7,806.7,5.3,180.7,0
bio vlierbloesem siroop,g,,0,24,0,6.1,0
bolognese,g,,4,102,6.5,6.3,0
plantaardige soya ongezoet,g,,4.2,46,2.3,1.8,0
milsani houdbare halfvolle melk heident w mutri-sc,ml,,3.7,49,1.5,4.9,0
fijngemalen bloem,g,,10,343,1,72,0
olde english marmelade,g,,0.2,270,0.6,65,0
"alpro sojadrink, light",ml,,2.1,28,1.2,1.7,0
mix hagelslag,g,,3,450,14,76,0
atjar tjampoer,g,,1.4,45,0.2,7.8,0
kamille,g,,0,0,0,0,0
gemengde notenpasta,g,,19,730,66,11,0
biologische tomaten soep,g,,1.2,49,2.2,5.3,0
sauce soja,g,,10,77,0,3.2,0
biologische kokosolie,g,,0,900,100,0,0
ongebrande pecannoten,g,,10,721,70,9.9,0
halfvolle biogarde,g,,4,47,1.5,4.5,0
bon bon bloc praline au lait,g,,6.3,530,29,58,0
knoflook,g,,6.5,160,0.5,31,0
tahin sesampasta,g,,27,660,58,6,0
frambozen,g,,1.4,31,0,4.5,0
pepsels,g,,14,446,15,61,0
yoghurt perzik passievrucht,g,,3.3,37,0,4.9,0
kokoswater,ml,,0.1,15,0.1,3.5,0
geitenkaas,g,,19.5,290,23.1,1,0
biologische gepelde tomaten,g,,1.2,22,0.1,3.8,0
tri-score combino mie nestjes basis voor oosterse,g,,11.8,363,1.7,73.2,0
tonny's chocolonely donkere melk 42%,g,,8.1,552,36.2,45.1,0
crunch sesam,g,,8.7,491,25,55,0
stevige crackers volkoren,g,,14,429,19,44,0
ontbijtkoek naturel,g,,2.5,305,1.3,69.1,0
hand sinaasappelen,g,,0.8,48,1,7.9,0
wokkels paprika,g,,4,460,19,67,0
volle koffie melk,ml,,8,165,8.5,14,0
rigatoni,g,,13,357,1.3,72,0
goed begin,g,,0,35,38.3,1.8,0
wire snelkookrijst,g,,7.4,350,0.9,77.5,0
sugocasa tradizionale,g,,1.6,36,0.2,6.5,0
volkoren tarwemeel,g,,12,340,2,64,0
choco met échte slagroom,g,,3.2,169,9.1,18.1,0
melbatoast,g,,12,385,2.4,77,0
luchtige chocolade mousse,g,,5,175,6.5,23,0
nibbit sticks,g,,4.3,469,21,64,0
rood fruit notenmix,g,,12,486,27,46,0
tonijnstukken in zonnebloemolie,g,,23.5,180,9.5,0.1,0
stevige tomaten soep,ml,,1.9,51,1.6,6.9,0
milde goudse kaas geraspt,g,,22.8,360,28.1,2.4,0
frites saus american,ml,,0.6,211,19,8.5,0
hipro kwark mango,g,,12.5,69.5,0.4,3.6,0
pistachenoten geroosterd,g,,24,604,50,9.4,0
the original crunchy absolute nuts granola,g,,12.1,446,16.3,59.1,0
kipfilet minder vet,g,,20,109,2.4,1.8,0
ginger ale,g,,0,39,0,9.4,0
filet américain,g,,9.4,208,15.7,6.7,0
tempeh,g,,19,208,12,2.7,0
olijf,ml,,0,675,75.1,0,0
tonijn in blik,g,,17,401,37,0,0
groentespread spinazie pijnboompit,g,,4.9,233,19,9.5,0
thaise sriracha mayo,ml,,0.6,429,44,6,0
fruit drink,g,,0.1,31,0.0,7.1,0
sultana's,g,,5.3,377.0,7.3,73.1,0
vemondo plantaardige kipstukjes,g,,19,100,0.3,1.3,0
max sour cream onion,g,,6.9,515,31,49,0
chinese eiermie,g,,12.5,353,3,67,0
biologische royal gala,g,,0.3,59,0.2,13,0
zure haring met zoetstof,g,,16,211,16,0.5,0
volkoren roggebrood,g,,6.3,200,1.1,35.6,0
pois chiches bio,g,,6.9,109,1.7,14.2,0
breaker banaan,g,,3.1,96,3,13,0
lemon + vitamin c,g,,0,367,0.5,90,0
haricots verts,g,,1.4,19,0.3,1.4,0
rijstolie,ml,,0,824,92,0,0
heinz tomato blokjes met basilicum & oregano,g,,1,22,0.1,3.6,0
proper corn sea salted popcorn,g,,8.6,439,17.4,56.6,0
mini stroopwafels,g,,3.5,462.5,21,61,0
rode puntpaprika,g,,0.8,25,0.1,4.3,0
horizon hazelnootpasta,g,,15,757,73,6,0
appelmoes 0%,g,,0.3,47,0.2,10,0
crème de tournesol,g,,24,667,53,20,0
chikko not coffee,g,,0.1,7,0,1.2,0
snoepgroente tomaat,g,,0.9,31,0.8,4,0
basilico - tomatensaus met basilicum,g,,1.5,72,4.4,6.1,0
verkade frou frou vanille,g,,4.4,540,33.8,55.4,0
licht & romig,ml,,0.5,280,27,9.1,0
drinkyoghurt bosvruchten,ml,,3.1,59,0.8,8.3,0
halfvolle koffie melk,g,,7.5,125,4.5,13,0
woudvruchten,g,,0.6,118,0.4,24,0
bananenchips,g,,2,504,25.2,64,0
crackers meerzaden,g,,36,498,30,15,0
slagroom houdbaar,ml,,2.5,295,30,3.5,0
"acaciahoning, lichtzoete voorjaarshoning",g,,0.4,325,0,80.5,0
warsteiner alcoholfrei pilsener,ml,,0.5,26,0,5.4,0
mix voor pannenkoeken volkoren,g,,8.5,179,5.4,23,0
fris zoete pepermunt,g,,0,400,0.6,99,0
zure matten,g,,2.2,364,2.1,81,0
choco crisps,g,,8.2,386,3.5,77,0
farfalle,g,,13,357,1.3,72,0
cashewnoten roasted,g,,19,625,51,22,0
yoghurt gums,g,,2,330,0.2,77,0
toffee,ml,,9,70,2.1,3.7,0
appelsap,ml,,0.1,42,0,10,0
wholegrain jasmin rice,g,,10,356,2.5,72,0
donker volkoren beschuit,g,,17,424,10,61,0
peas maker,g,,53,339,4.1,15,0
skyr framboos granaatappel,g,,9.4,75,2.2,4.3,0
original sinaasappel,ml,,0,230,0,55,0
cappelletti prosciutto crudo,g,,12,301,7.1,46,0
biologische ongezouten roomboter,g,,0.7,744,82,0.8,0
vrije uitloop eieren,g,,12,131,9.1,0.2,0
"topping, plantaardig alternatief voor slagroom",g,,0.5,256,22,14,0
tomato ketchup minder suikers en zout,g,,1.4,64,0.1,12,0
room crème light,ml,,3.8,107,7.3,6.4,0
malse zalm filet,g,,20,179,11,0,0
amandel drink,ml,,0.3,24,1.1,3,0
scrocchi zeezout,g,,10,454,16,66,0
milbona kruidenboter,g,,1,650,70.6,2.7,0
proteïne drink,ml,,8,53,0.1,4.9,0
caribbean gold sugar,g,,0,400,0,99,0
liefde & passie petit,g,,11,255,3.4,42,0
goudappeltje fruit drink,g,,0.1,37,0.0,8.6,0
volkoren spelt gepoft,g,,16,364,2,66,0
6x croissants classic,g,,7.3,345,19,34,0
tofu rosso olives et tomates,g,,17,237,16,5,0
haverdrink,g,,0.6,49.5,1.4,8.1,0
fresh garlic sauce,ml,,1.1,293,26,13,0
eiwitreep pindakaas,g,,25,461.7,23.3,35,0
ah liefde en passie petit beure,g,,8.9,253,1.8,49,0
duo hagelslag mix,g,,3,450,14.1,76.3,0
becel light boter,g,,0.2,269,28,3.9,0
biologische rijstwafels met zeezout,g,,7.9,394.7,2.6,81.6,0
mini suikerklontjes,g,,0,400,0,100,0
groentesoep,g,,7.9,294,3.1,57,0
biologische gerookte zalm,g,,23,200,12,0,0
luchtig krokante sour cream onion flavour chips,g,,6.5,478,21,63,0
nipbottle mayonnaise,ml,,0.9,630,67,4.2,0
trancio,g,,5.1,367,13,57,0
yeast 3 bags,g,,48,390,6,36,0
pastasaus m/basilikum,g,,1.6,56,2.8,5.3,0
tomatensaus met kaas parmigiano reggiano,g,,2.6,66,3.6,5.2,0
cherry tomaten aan de tak,g,,0.9,31,0.8,4,0
groene olijven zonder pit,g,,1,175,18,0,0
twinkelz vlokken,g,,6.7,470,19,66,0
pure chocolade 75%,g,,9.5,540,41,26,0
barbecue lentil chips,g,,9.7,469,20,61,0
brosse eierkoek met melklaagje,g,,4.9,434,12,75,0
albert heijn pittige pepitamix gezouten,g,,24,594,47,15,0
hennepzaad,g,,32,610,51,4.5,0
elstar,g,,0.3,59,0.2,13,0
feta,g,,16.4,270,22.5,0.4,0
gnocchi,g,,2.1,128,0.2,29,0
kleintje smeerleverworst,g,,1.6,249,22,1.3,0
erwtensoep,ml,,4.7,91,3.1,9.6,0
wasabi crispy rice crackers,g,,7.6,424,7.6,81.6,0
coleslaw,g,,1,140,10.5,9,0
verse vanille vla,ml,,2.4,86,2.8,12.8,0
verse slagroom,ml,,2.2,336,35,3.1,0
red fruit & nut mix,g,,11.3,486,26.5,46.7,0
langgraan rijst,g,,8,355,1,78,0
chilisaus,g,,1.3,71,0.1,14.7,0
water,g,,0,0,0,0,0
ristorante pizza hawaii,g,,8.4,217,8.4,25.6,0
iced tea with peach flavour,ml,,0,21,0,4.9,0
tortilla naturel jumbo,g,,7.8,481,22.2,59.6,0
ristorante pizza margherita,g,,10,253,11,27,0
kroepoek,g,,1.1,502,24,69,0
bosvruchten fruitspread,g,,0.6,120,0.1,28,0
granola koop,g,,13.2,443,16.4,56.1,0
karnemelk,ml,,1,9.7,0.2,1,0
noorse zalm,g,,42.2,300,14.6,0,0
ginger goodness blueberry,g,,0,1,0,0.2,0
franse halfvolle kwark,g,,7.5,74,3.1,3.9,0
maïs wafels met barbecue-smaak,g,,6.7,428.6,11,75,0
volkoren muesli noten & zaden,g,,14,164,6,20,0
melkbiscuit,g,,9,474,20.8,59.2,0
multivit bosvruchten,g,,0,26,0,6.2,0
hongaarse goulash extra rijkgevuld,g,,2.4,57,2.6,4.9,0
rond volkoren half,g,,14,243,1.9,39,0
kokos drink,g,,0.2,27,1.5,2.8,0
eieren,g,,18.6,204.5,14.4,0.3,0
vloeibaar olijf roerbakken en braden,ml,,0,675,75,0,0
scrocchi olijf,g,,10,436,13,68,0
plantaardig alternatief voor kwark,g,,9,73,2.4,4.4,0
smeerkaas naturel 20+,g,,14,130,6.7,3.1,0
tortilla naturel xl,g,,9.1,301.5,4.9,53.0,0
falafel,g,,6.8,169,6.8,17,0
stegeman cervelaat fijn,g,,22,486,44,0.5,0
hagelslag puur,g,,4.9,452,16,69,0
plantaardige smeerworst,g,,8.1,156,9.6,7.4,0
filet american naturel,g,,11.9,275,23.8,3.3,0
taco shells,g,,6.5,461,20,61,0
skyr licht gezouten karamel,g,,9.6,55,0.2,3.7,0
smeerbare roomboter,g,,0.1,631,70,0.1,0
cheetos flamin' hot,g,,6.2,476,19,68,0
pannenkoekenmix meergranen,g,,6.5,157.7,3.9,24,0
jong belegen geraspt goudse 48+,g,,25.1,381,30.1,2.4,0
basmatirijst,g,,8.8,355,0.5,78,0
piadina,g,,8.4,313,8.7,49,0
"c with a twist of dairy coolbest we keep it cool,",ml,,0.2,27,0.0,6,0
gochujang korean chili paste,g,,5.6,222,0,44.4,0
tomaten ketchup,g,,1.6,48,0,9.8,0
energy drink,g,,0,2,0,0,0
tonijnmoot in water,g,,23.5,99,0.5,0.1,0
organic kimchi,g,,1.3,30,0.3,4.2,0
biologische fusili volkoren,g,,12,350,2.2,67,0
mini fusilli,g,,13,357,1.3,72,0
pitabroodjes volkoren,g,,9.1,225,1.2,40,0
ging'r,ml,,0.8,138,0.0,34,0
breaker zero banaan,g,,3.3,67,3,7.3,0
sweet & sour sauce,ml,,0,170,0,40,0
yoghurt griekse stijl 10%,g,,4.2,130,10,5.4,0
pure chocolade biscuits,g,,6.6,505,25,61,0
choco shells,g,,9.6,377,2.7,74.4,0
pitabroodjes,g,,8.4,243,1,48.5,0
dunkle schokolade mit ganzen haselnüssen,g,,10.3,620.7,44.8,44.8,0
japanse braadfilets,g,,19,205,13,2.4,0
coca cola,g,,0,42,0,10.6,0
leksands extra krokant,g,,9,350,2.6,64,0
crispbread,g,,6,380,1.7,84,0
wraps,g,,7.1,271,6.2,42,0
partymix rijstzoutjes,g,,7.4,389,3.5,81,0
ketjap medja no.1,g,,2.4,237,0,56.8,0
huile de cuisson noix de coco extra vierge 325 ml,ml,,0,820,91,0.0,0
la vida - vegan hazelnut paste,g,,4.2,581,38,54,0
horizon hazelnoot rozijnen pasta eko,g,,14,717,66,13,0
mini crakers naturel,g,,10,438.7,12.3,71.0,0
kip tandoori,g,,5.8,100,3.2,11,0
biologische roomboter gezouten wikkel,g,,0.6,745,82,0.7,0
sappige frambozen extra jam,g,,0.5,250,0.2,60,0
geleisuiker speciaal,g,,0,396,0.2,97,0
olijf olie,g,,0,820,91,0,0
wolkentoetje chocolade,g,,3.9,134,6.5,15,0
mosterd honing dressing,ml,,0.9,267,21,17,0
strawberry cheescake,g,,2.9,217,12,24,0
mozarella pesto pizza,g,,9.2,244,13,22,0
krokante schnitzels,g,,12.6,243,12.8,19,0
volkoren spelt meel,g,,12,340,2,64,0
maiswafels melkchocolade,g,,11,495,23,65,0
soepvermicelli naturel,g,,14,370,3,70,0
coconut bar,g,,4.7,554,37,46,0
bonbonbloc - praliné wit,g,,7.3,573,38,50,0
sandwich salade naturel,g,,2,198,14.3,14.8,0
flakes pure chocolade,g,,9.7,404,6.9,72,0
gedroogde cranberrys,g,,0.2,343,0.3,82.1,0
easy coconut milk,g,,0.8,80,8,1,0
melk,g,,5.2,539,31,59,0
muesli choco en noten,g,,23,1416.7,19.3,25.7,0
dadel en notenmix,g,,19,490,31,28,0
groente crackers rode biet,g,,27.2,456,18.4,38.4,0
pannenkoeken,g,,6.7,171,3.7,27,0
toetje van de maand,g,,3.8,191,9,23,0
licht zonder prik,ml,,0,1,0,0,0
augurken zuur fijn,g,,1.1,19,0,2,0
franse kwark halfvol,g,,7.4,81,3.2,4.7,0
party mix,g,,9.3,461,15,70,0
sauce soja sans gluten,ml,,10,57,0,2,0
packing ah vloerbrood meergr hl bedrag inhoud 1 st,g,,11.1,262.9,2.3,46.9,0
pompoen pitten,g,,30,589,48,7.9,0
meergranen biscuits bosvruchtensmaak,g,,7.9,382,8.1,65.2,0
heerlijk romig,g,,0.5,713,79,0.5,0
appel en zwarte bessen smaak,ml,,0,1,0,0.2,0
parmigiano reggiano flakes,g,,32,398,30,0,0
biologische fruitspread aardbei,g,,0.4,154,0.2,36.3,0
indonesische pittige cassave kroepoek,g,,1.6,483,23,65,0
smaakwater niet bruisend citroen,ml,,0,0,0,0,0
biologische natuurazijn,ml,,0.1,13,0,0.1,0
ben & jerry's ice cream dessert chocolatey love a-fair 465 ml,g,,3.6,233,14,23,0
chicken nuggets,g,,14.8,241,10,22.3,0
donkere melk brownie,g,,7.7,540,34,48,0
dunne maiswafel met zeezout,g,,8.9,380,2.2,78,0
speculaaspasta crunchy,g,,3.5,566,37,54,0
bulgur,g,,12,390,1.3,76,0
rijswafels choco,g,,7.4,484.5,21,65,0
ochtendmelange,g,,0,1,0,0.2,0
citroensmaak,ml,,0,0,0,0,0
kaas-mosterdsalade,g,,0.8,546,55.7,9.7,0
gouda holland,g,,23,377,31,0,0
"green tea, blueberry, lavender",ml,,0,2,0,0.1,0
almond brownie,g,,6.6,506,23,66,0
dutch goat cheese,g,,23.3,392,33.2,0,0
nori vellen,g,,41,287,3.4,0.7,0
zongedroogde tomaten in olie,g,,3.1,505,49,10,0
fuzetea,ml,,0,19,0,4.4,0
lekkerbekjes traditioneel,g,,13.3,298,14.2,18.3,0
maiswafels,g,,1.9,73.6,0.5,14.6,0
barbecue mini krieltjes,g,,2.1,88,0.4,18,0
eieren middelgroot,g,,12.3,132.1,9.1,0.2,0
arachide olie,ml,,0,828,92,0,0
leverpastij varken,g,,12,308,28,1.7,0
pesto rosso,g,,1.9,344,35,4.5,0
mayonnaise belgian recipe,ml,,1.4,747,82,0.3,0
mini maïswafel paprika,g,,7.3,412,8.4,75,0
grand' italia pesto rosso,g,,5.6,380,36,7.3,0
kookroom houdbaar,ml,,2.5,205,20,4,0
bakkers bollen,g,,13,252,5,35,0
honing mosterd dressing,ml,,1.1,291,26,13,0
petit filet à l'americain,g,,11.2,212,13.5,11,0
hummus classic,g,,8.1,274,20.8,11.3,0
yoghurt griekse stijl vanillesmaak,g,,6,80,2,9.4,0
suikerklonten,g,,0,400,0,100,0
naanbrood,g,,8.3,294,6.5,49,0
mini torinesi,g,,11,435,12,68,0
augurken,g,,0.6,30,0.5,5.4,0
poffertjes,g,,6.2,315,18.8,29.6,0
hagel xxl melk & disco,g,,6,459,15.2,72.2,0
halvarine light voordeelpak,g,,0,271,30,0.1,0
piccalilly,g,,1.7,39,1,4.9,0
biologische komkommer,g,,0.7,13.6,0.4,1.5,0
amandes grillées salées,g,,24,644,56.3,6,0
way to go biscuit and caramel milk chocolate,g,,7.8,543,32.2,54.8,0
green ice tea strawberry,ml,,0,10,0,2.4,0
tomatensoep,ml,,1.7,53,1.4,8,0
wokreepjes gekruid,g,,14,236,18,2.7,0
balans smeerbaar,g,,0,405,45,0.0,0
lasagne bolognese,g,,7.5,144,7.5,11,0
protein kwark framboos,ml,,13,70,0.4,3.4,0
ah scharreleieren klasse m,g,,12,131,9.1,0.2,0
krokovlokken,g,,2.6,451,14,77,0
peanut butter protein bar [,g,,33.3,378.3,15.8,26.7,0
yellow ginger,ml,,0.7,33,0,7.4,0
chinese tomatensoep,ml,,1.4,60,2.5,7.1,0
gazpacho,ml,,0.6,37.5,2.3,3,0
vegan protein vanilla flavour,g,,80,366.7,2.3,2.3,0
maaltijdsalade kip caesar,g,,7,138,8.7,7.4,0
krokante muesli chocolade smaak,g,,10,401,14,64,0
indische pinda spread,g,,9.4,251,17,13,0
kipdijsatespies,g,,2.8,132,8.5,10.3,0
vla hapjes smaak,g,,4.7,116,3.2,17,0
fritessaus,g,,3.3,273.3,26,9.3,0
nectarines,g,,1,33,0.1,6.5,0
pindakaas met stukjes,g,,27,639,53,10,0
gele uien,g,,1.3,38,0.2,6.3,0
спагетини n°11,g,,14,351,1.5,69,0
bio ginger shot,g,,0.5,35,0.5,7.9,0
tomaat,g,,2,62,2.8,6.5,0
echte boter gezouten,g,,1,738,81,1,0
oat drink naturel,ml,,0.9,52,1.5,8.4,0
proscuitto  di parma,g,,28,249,15,0.5,0
knäckebröd,g,,15.3,452.9,11.2,70.6,0
knackebrod rag,g,,7.7,384.6,0,76.9,0
gerookte zalm,g,,22,198,11.3,1.6,0
zoethoutwortelthee,g,,0,1,0,0.2,0
l’atelier amandel bosbes,g,,6.5,537,32.2,52.1,0
biologische haver,g,,0.7,42,0.8,7.8,0
digestive volkoren,g,,7,458,17.7,64.7,0
groentespread kommer tomaat,g,,2.4,116,7.3,8.6,0
chewy cinnamon roll oat bars,g,,8.6,358,14,36,0
speculoos crunchy,g,,3.8,563,34,61,0
crunchy nuts and seeds bar,g,,16,475,27.9,39.1,0
